ShiftKey,LineId,ShiftLabel,Segment,Cluster,CurrentShare,BaselineMean,ZScore,Direction,Headline,Detail,HeadlineML,SegColor,Rank
ngp2|2026-06-18|day,ngp2,Day 06-18,hydration,Catheter Reject,23.0,1.7,13.2,above,14× more Catheter Reject stops than usual (Hydration),"23.0% of this shift's downtime, normally 1.7%","14× more Catheter Reject stops than usual (Hydration)
23.0% of this shift's downtime, normally 1.7%",#e76f51,0
ngp2|2026-06-18|day,ngp2,Day 06-18,hydration,Cap,14.5,2.3,3.7,above,6× more Cap stops than usual (Hydration),"14.5% of this shift's downtime, normally 2.3%","6× more Cap stops than usual (Hydration)
14.5% of this shift's downtime, normally 2.3%",#e76f51,1
ngp2|2026-06-18|night,ngp2,Night 06-18,hydration,Cap,16.0,2.3,4.1,above,7× more Cap stops than usual (Hydration),"16.0% of this shift's downtime, normally 2.3%","7× more Cap stops than usual (Hydration)
16.0% of this shift's downtime, normally 2.3%",#e76f51,0
ngp2|2026-06-19|day,ngp2,Day 06-19,hydration,Cap,12.8,2.3,3.2,above,6× more Cap stops than usual (Hydration),"12.8% of this shift's downtime, normally 2.3%","6× more Cap stops than usual (Hydration)
12.8% of this shift's downtime, normally 2.3%",#e76f51,0
ngp2|2026-06-19|day,ngp2,Day 06-19,schubert,Line Stop / Wait,32.0,10.6,2.2,above,3× more Line Stop / Wait stops than usual (Schubert),"32.0% of this shift's downtime, normally 10.6%","3× more Line Stop / Wait stops than usual (Schubert)
32.0% of this shift's downtime, normally 10.6%",#2a9d8f,1
ngp2|2026-06-19|night,ngp2,Night 06-19,schubert,Line Stop / Wait,34.6,10.6,2.5,above,3× more Line Stop / Wait stops than usual (Schubert),"34.6% of this shift's downtime, normally 10.6%","3× more Line Stop / Wait stops than usual (Schubert)
34.6% of this shift's downtime, normally 10.6%",#2a9d8f,0
ngp2|2026-07-08|day,ngp2,Day 07-08,unattributed,unattributed,6.3,1.0,5.2,above,6× more unattributed stops than usual (Other),"6.3% of this shift's downtime, normally 1.0%","6× more unattributed stops than usual (Other)
6.3% of this shift's downtime, normally 1.0%",#b2bec3,0
ngp2|2026-07-08|night,ngp2,Night 07-08,foil,Detection Fault,48.1,9.1,4.6,above,5× more Detection Fault stops than usual (Foil),"48.1% of this shift's downtime, normally 9.1%","5× more Detection Fault stops than usual (Foil)
48.1% of this shift's downtime, normally 9.1%",#e9c46a,0
ngp2|2026-07-08|night,ngp2,Night 07-08,foil,Printer,8.2,2.5,3.1,above,3× more Printer stops than usual (Foil),"8.2% of this shift's downtime, normally 2.5%","3× more Printer stops than usual (Foil)
8.2% of this shift's downtime, normally 2.5%",#e9c46a,1
ngp2|2026-07-09|day,ngp2,Day 07-09,foil,Detection Fault,72.0,9.1,7.3,above,8× more Detection Fault stops than usual (Foil),"72.0% of this shift's downtime, normally 9.1%","8× more Detection Fault stops than usual (Foil)
72.0% of this shift's downtime, normally 9.1%",#e9c46a,0
ngp2|2026-07-09|night,ngp2,Night 07-09,hydration,Catheter Reject,12.3,0.9,11.4,above,14× more Catheter Reject stops than usual (Hydration),"12.3% of this shift's downtime, normally 0.9%","14× more Catheter Reject stops than usual (Hydration)
12.3% of this shift's downtime, normally 0.9%",#e76f51,0
ngp2|2026-07-09|night,ngp2,Night 07-09,foil,Printer,6.1,2.5,2.0,above,2× more Printer stops than usual (Foil),"6.1% of this shift's downtime, normally 2.5%","2× more Printer stops than usual (Foil)
6.1% of this shift's downtime, normally 2.5%",#e9c46a,1
ngp2|2026-07-10|day,ngp2,Day 07-10,hydration,Catheter Reject,6.6,0.9,5.6,above,7× more Catheter Reject stops than usual (Hydration),"6.6% of this shift's downtime, normally 0.9%","7× more Catheter Reject stops than usual (Hydration)
6.6% of this shift's downtime, normally 0.9%",#e76f51,0
ngp2|2026-07-10|day,ngp2,Day 07-10,schubert,Line Stop / Wait,37.2,5.3,5.0,above,7× more Line Stop / Wait stops than usual (Schubert),"37.2% of this shift's downtime, normally 5.3%","7× more Line Stop / Wait stops than usual (Schubert)
37.2% of this shift's downtime, normally 5.3%",#2a9d8f,1
ngp2|2026-07-10|day,ngp2,Day 07-10,foil,Printer,7.5,2.5,2.7,above,3× more Printer stops than usual (Foil),"7.5% of this shift's downtime, normally 2.5%","3× more Printer stops than usual (Foil)
7.5% of this shift's downtime, normally 2.5%",#e9c46a,2
ngp2|2026-07-10|night,ngp2,Night 07-10,schubert,Line Stop / Wait,17.2,5.3,1.9,above,3× more Line Stop / Wait stops than usual (Schubert),"17.2% of this shift's downtime, normally 5.3%","3× more Line Stop / Wait stops than usual (Schubert)
17.2% of this shift's downtime, normally 5.3%",#2a9d8f,0
ngp2|2026-07-11|night,ngp2,Night 07-11,foil,Detection Fault,35.4,9.1,3.1,above,4× more Detection Fault stops than usual (Foil),"35.4% of this shift's downtime, normally 9.1%","4× more Detection Fault stops than usual (Foil)
35.4% of this shift's downtime, normally 9.1%",#e9c46a,0
ngp2|2026-07-12|day,ngp2,Day 07-12,hydration,Limit Switch,21.1,2.7,5.2,above,8× more Limit Switch stops than usual (Hydration),"21.1% of this shift's downtime, normally 2.7%","8× more Limit Switch stops than usual (Hydration)
21.1% of this shift's downtime, normally 2.7%",#e76f51,0
ngp2|2026-07-12|night,ngp2,Night 07-12,hydration,Timing,5.2,0.2,5.0,above,26× more Timing stops than usual (Hydration),"5.2% of this shift's downtime, normally 0.2%","26× more Timing stops than usual (Hydration)
5.2% of this shift's downtime, normally 0.2%",#e76f51,0
ngp2|2026-07-12|night,ngp2,Night 07-12,unattributed,unattributed,5.5,1.0,4.4,above,6× more unattributed stops than usual (Other),"5.5% of this shift's downtime, normally 1.0%","6× more unattributed stops than usual (Other)
5.5% of this shift's downtime, normally 1.0%",#b2bec3,1
ngp2|2026-07-12|night,ngp2,Night 07-12,schubert,Line Stop / Wait,25.0,5.3,3.1,above,5× more Line Stop / Wait stops than usual (Schubert),"25.0% of this shift's downtime, normally 5.3%","5× more Line Stop / Wait stops than usual (Schubert)
25.0% of this shift's downtime, normally 5.3%",#2a9d8f,2
ngp2|2026-07-12|night,ngp2,Night 07-12,foil,Printer,6.2,2.5,2.0,above,2× more Printer stops than usual (Foil),"6.2% of this shift's downtime, normally 2.5%","2× more Printer stops than usual (Foil)
6.2% of this shift's downtime, normally 2.5%",#e9c46a,3
ngp2|2026-07-13|day,ngp2,Day 07-13,hydration,Limit Switch,33.2,2.7,8.6,above,12× more Limit Switch stops than usual (Hydration),"33.2% of this shift's downtime, normally 2.7%","12× more Limit Switch stops than usual (Hydration)
33.2% of this shift's downtime, normally 2.7%",#e76f51,0
ngp2|2026-07-13|night,ngp2,Night 07-13,unattributed,unattributed,7.3,1.0,6.3,above,7× more unattributed stops than usual (Other),"7.3% of this shift's downtime, normally 1.0%","7× more unattributed stops than usual (Other)
7.3% of this shift's downtime, normally 1.0%",#b2bec3,0
ngp2|2026-07-13|night,ngp2,Night 07-13,foil,Printer,10.6,2.5,4.4,above,4× more Printer stops than usual (Foil),"10.6% of this shift's downtime, normally 2.5%","4× more Printer stops than usual (Foil)
10.6% of this shift's downtime, normally 2.5%",#e9c46a,1
ngp2|2026-07-13|night,ngp2,Night 07-13,schubert,Line Stop / Wait,21.9,5.3,2.6,above,4× more Line Stop / Wait stops than usual (Schubert),"21.9% of this shift's downtime, normally 5.3%","4× more Line Stop / Wait stops than usual (Schubert)
21.9% of this shift's downtime, normally 5.3%",#2a9d8f,2
ngp2|2026-07-13|night,ngp2,Night 07-13,hydration,Limit Switch,11.1,2.7,2.4,above,4× more Limit Switch stops than usual (Hydration),"11.1% of this shift's downtime, normally 2.7%","4× more Limit Switch stops than usual (Hydration)
11.1% of this shift's downtime, normally 2.7%",#e76f51,3
ngp2|2026-07-14|day,ngp2,Day 07-14,foil,Labeler,11.9,2.1,3.4,above,6× more Labeler stops than usual (Foil),"11.9% of this shift's downtime, normally 2.1%","6× more Labeler stops than usual (Foil)
11.9% of this shift's downtime, normally 2.1%",#e9c46a,0
ngp2|2026-07-14|night,ngp2,Night 07-14,unattributed,unattributed,5.2,1.0,4.1,above,5× more unattributed stops than usual (Other),"5.2% of this shift's downtime, normally 1.0%","5× more unattributed stops than usual (Other)
5.2% of this shift's downtime, normally 1.0%",#b2bec3,0
ngp2|2026-07-14|night,ngp2,Night 07-14,foil,Detection Fault,31.9,9.1,2.7,above,4× more Detection Fault stops than usual (Foil),"31.9% of this shift's downtime, normally 9.1%","4× more Detection Fault stops than usual (Foil)
31.9% of this shift's downtime, normally 9.1%",#e9c46a,1
ngp2|2026-07-14|night,ngp2,Night 07-14,schubert,Line Stop / Wait,17.9,5.3,2.0,above,3× more Line Stop / Wait stops than usual (Schubert),"17.9% of this shift's downtime, normally 5.3%","3× more Line Stop / Wait stops than usual (Schubert)
17.9% of this shift's downtime, normally 5.3%",#2a9d8f,2
